model_path,region,project_name,g_hi,g_cnt,p_hi,p_cnt,duplicate
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230526_TO2_Validation_Stage4\HUC8_08090203_HEC-RAS_V631_20230728\Model\EC_HEC-RAS_V631_20230728,Region6,EC_ELouisianaCoastal,EC_ELouisianaCoastal.g02,3,EC_ELouisianaCoastal.p17,15,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230526_TO2_Validation_Stage4\HUC8_08090203_HEC-RAS_V631_20230526\EC_HEC-RAS_V631_20230526,Region6,EC_ELouisianaCoastal,EC_ELouisianaCoastal.g02,3,EC_ELouisianaCoastal.p14,14,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230404_TO3_Hydrology_Model_Stage2\HUC8_08090302_HEC-RAS_V631_20230404\Model\HUC8_08090302_HEC-RAS_V631_20230404,Region6,WC,WC.g01,1,WC.p13,8,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230404_TO3_Hydrology_Model_Stage2\HUC8_08070300_HEC-RAS_V631_20230404\ROM_Stage2_Submittal_TDQ\LG_North,Region6,LG_North,LG_North.g06,1,LG_North.p06,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230404_TO3_Hydrology_Model_Stage2\HUC8_08070300_HEC-RAS_V631_20230404\HUC10_0807030004_HEC-RAS_04042023\HUC10_0807030004_HEC-RAS_04042023\HECRAS_Model,Region6,LG_MBI_HUC10,LG_MBI_HUC10.g01,2,LG_MBI_HUC10.p02,3,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230309_T02_Calibration_Stage3\HUC8_08090203_HEC-RAS_V631_20230309\EC_HEC-RAS_V631_20230309,Region6,EC_ELouisianaCoastal,EC_ELouisianaCoastal.g01,2,EC_ELouisianaCoastal.p10,11,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230106_TO3_Hydrology_Model_Stage1\HUC8_08090302_HEC-RAS_V631_20230106\HUC8_08090302_HEC-RAS_V631_20230106,Region6,WC,WC.g01,1,WC.p01,1,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230106_TO3_Hydrology_Model_Stage1\HUC8_08070300_HEC-RAS_V631_20230106\ROM_Stage1_Submittal_TDQ\HEC_RAS_model,Region6,LG_0807030001,LG_0807030001.g01,2,LG_0807030001.p01,1,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20230106_TO3_Hydrology_Model_Stage1\HUC8_08070300_HEC-RAS_V631_20230106\HUC10_0807030004_HEC-RAS_20230105\HECRAS_Model,Region6,LG_MBI_HUC10,LG_MBI_HUC10.g01,1,LG_MBI_HUC10.p01,2,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20221110_TO2_Hydraulic Model Setup - Stage 2\HUC8_08090301_HEC-RAS_V631_20221110\HUC08090301_HEC-RAS_V631_20221110,Region6,CC_ECentralLouisian,CC_ECentralLouisian.g01,1,CC_ECentralLouisian.p08,8,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20221110_TO2_Hydraulic Model Setup - Stage 2\HUC8_08090203_HEC-RAS_V631_20221110\EC_HEC-RAS_V631_20221110,Region6,EC_ELouisianaCoastal,EC_ELouisianaCoastal.g01,2,EC_ELouisianaCoastal.p08,9,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20220909_TO2_Hydrology_Model_Deliverable\HUC8_08090301_HEC-RAS_V62_20220909\HUC08030901_HEC-RAS_V62_20220909,Region6,CC,CC.g01,2,CC.p01,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region6\deliverables\20220909_TO2_Hydrology_Model_Deliverable\HUC8_08090203_HEC-RAS_V62_20220909\HUC08090203_HEC-RAS_V62_20220909,Region6,ELC_2D_ROG,ELC_2D_ROG.g01,2,ELC_2D_ROG.p01,2,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_2D_26JUL2023\MH_Downstream,Region5,MH_Downstream,MH_Downstream.g05,3,MH_Downstream.p11,10,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_2D_26JUL2023\MH Bayou Plaquemine Brule,Region5,MH_PlaquemineBrule,MH_PlaquemineBrule.g03,1,MH_PlaquemineBrule.p06,6,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_2D_26JUL2023\MH Bayou Nezpique,Region5,MH_BayouNezpique,MH_BayouNezpique.g02,1,MH_BayouNezpique.p06,6,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_2D_26JUL2023\MH Bayou Des Cannes,Region5,MH_BayouDesCannes,MH_BayouDesCannes.g04,2,MH_BayouDesCannes.p07,6,False
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_1D_26JUL2023\MH_EastFork Bayou Nezpique,Region5,MH_EFkByNezpique,MH_EFkByNezpique.g01,2,MH_EFkByNezpique.p06,7,True
V:\projects\p00542_cpra_2020_lwi_t10\99_import\S3\Region5\deliverables\2023_0726_ToDOTD_Hydraulic_Model_Calibration_MermentauHeadwatersHUC8\Model\MH_RAS_1D_26JUL2023\MH_CaneyCreek,Region5,MH_CaneyCrNetwork,MH_CaneyCrNetwork.g02,2,MH_CaneyCrNetwork.p06,6,True
